WMO_index,lat,lng,region_id
30499,55.1833333333,124.6666666667,38
30526,54.4833333333,107.0666666667,14
28367,57.1166666667,65.4333333333,35
21813,71.9166666667,123.5666666667,54
28158,58.5333,64.5,12
TIK,71.5861663818,128.9188232422,54
DFE,56.5,85.1,24
TUR,64.1699981689,100.0699996948,10
TRH,65.7799987793,87.9000015259,10
30455,55.4861111111,113.6194444444,31
29613,55.3055555556,79.6291666667,49
31026,58.7333333333,130.6166666667,54
31285,54.5,134.4166666667,77
24982,60.7166666667,142.7833333333,77
28722,54.7105555556,55.815,83
31016,58.6333333333,128.5,54
32088,49.0666666667,142.0333333333,53
23946,60.5,74.0166666667,6
23606,63.5752777778,53.8058333333,8
29576,55.8183333333,94.315,10
31087,58.8166666667,141.85,
30823,51.8333333333,107.6,31
30846,51.35,112.4666666667,11
28629,54.9227777778,56.9805555556,83
28302,57.75,51.5,7
23453,65.9627777778,78.4344444444,69
30781,52.75,120.0333333333,11
31624,49.4,133.2333333333,77
28307,57.1166666667,50.0,7
30712,52.7833333333,103.6833333333,14
31919,44.1497222222,132.0,82
23992,60.7241666667,97.5144444444,10
30323,56.8,105.8,14
36083,52.0569444444,92.1386111111,10
32287,57.0952777778,156.7377777778,74
36229,50.2722222222,85.62,70
30635,53.4166666667,109.0166666667,31
24371,66.8,136.6833333333,54
23405,65.4333333333,52.2666666667,8
28382,57.6833333333,71.1833333333,50
31054,59.1833333333,135.15,54
32408,56.2369444444,162.6919444444,74
30772,52.7,118.8,11
23803,61.6833333333,53.6833333333,8
30320,56.8566666667,105.73,14
24966,60.3833333333,134.45,54
31041,59.6333333333,133.0333333333,54
24382,66.45,143.2333333333,54
30385,56.5833333333,121.5,38
21711,73.0,119.8666666667,54
24898,61.1166666667,149.6333333333,63
23518,64.2666666667,57.6166666667,8
31474,51.6333333333,133.2666666667,77
23412,65.9841666667,56.9058333333,8
32252,58.5,159.1666666667,74
30713,52.8166666667,104.7666666667,14
30514,54.1666666667,103.0166666667,14
30764,52.65,115.1666666667,11
29864,53.7166666667,90.3666666667,21
29653,55.3,89.8166666667,10
30637,53.3166666667,107.7333333333,14
USV,62.2299995422,50.4000015259,8
21978,70.0838888889,170.9252777778,78
24908,60.3361111111,102.2944444444,10
23966,60.35,84.0833333333,24
23112,68.8038888889,57.9855555556,47
23982,61.0158333333,93.4305555556,10
28216,58.0833333333,54.6833333333,15
23578,64.2347222222,87.5730555556,10
30229,57.3333333333,107.0666666667,14
25538,64.2166666667,164.2333333333,74
23678,63.1555555556,87.9680555556,10
28833,53.8833333333,59.2,33
24644,63.45,120.3166666667,54
28541,56.0833333333,60.3,33
29789,54.2166666667,96.9666666667,14
24266,67.5666666667,133.4,54
28144,58.8666666667,60.7833333333,12
24668,63.3166666667,132.0166666667,54
31418,52.2833333333,135.8,77
23701,62.9977777778,50.8958333333,8
28481,56.8166666667,70.6166666667,35
24641,63.7833333333,121.6166666667,54
30054,59.45,112.5833333333,54
30142,58.8833333333,111.25,14
28502,56.2333333333,51.0333333333,7
31786,47.55,134.8166666667,77
31960,43.1166666667,131.9166666667,82
31977,43.2666666667,132.05,82
36022,52.0216666667,80.3402777778,1
20982,70.9666666667,94.5,10
23823,61.9552777778,64.9030555556,6
23226,67.4916666667,63.9716666667,8
23973,61.0305555556,89.6138888889,10
24679,63.2166666667,139.6,54
VTM,59.4500007629,112.5800018311,54
VLB,43.1199989319,131.8999938965,82
36064,51.7708333333,87.6052777778,70
23812,61.8333333333,56.8666666667,8
28465,56.6833333333,66.35,35
23463,65.9772222222,84.3277777778,10
28366,57.4166666667,67.0833333333,35
24219,67.1333333333,108.5333333333,54
24975,60.3666666667,137.5,54
31062,59.7666666667,137.6666666667,54
23635,63.6666666667,69.6,6
24588,64.05,141.8833333333,54
YAK,62.0800018311,129.75,54
